index,Fly Ash Carbon Content,Timestamp,Efficiency
100,0.622,1551289680,90.61
101,0.622,1551289740,90.61
102,0.622,1551289800,90.61
103,0.622,1551289860,90.61
104,0.622,1551289920,90.61
105,0.622,1551289980,90.61
106,0.622,1551290040,90.61
107,0.622,1551290100,90.61
108,0.622,1551290160,90.61
109,0.622,1551290220,90.61
110,0.622,1551290280,90.61
111,0.622,1551290340,90.61
112,0.622,1551290400,90.61
113,0.622,1551290460,90.61
114,0.622,1551290520,90.61
115,0.622,1551290580,91
116,0.622,1551290640,91.5
117,0.622,1551290700,91.5
118,0.5217,1551290760,91.5
119,0.4883,1551290820,91.66
120,0.4883,1551290880,91.66
121,0.4253,1551290940,91.66
122,0.4213,1551291000,91.88
123,0.4213,1551291060,91.88
124,0.4544,1551291120,91.88
125,0.4544,1551291180,91.88
126,0.4603,1551291240,91.88
127,0.4603,1551291300,91.88
128,0.4882,1551291360,91.6
129,0.622,1551291420,90.91
130,0.622,1551291480,90.91
131,0.622,1551291540,90.91
132,0.622,1551291600,90.58
133,0.622,1551291660,90.8
134,0.622,1551291720,90.88
135,0.622,1551291780,91.01
136,0.622,1551291840,91.01
137,0.622,1551291900,91.01
138,0.622,1551291960,90.96
139,0.622,1551292020,90.76
140,0.622,1551292080,90.76
141,0.622,1551292140,90.6
142,0.622,1551292200,90.6
143,0.622,1551292260,90.6
144,0.622,1551292320,90.66
145,0.622,1551292380,90.75
146,0.622,1551292440,90.83
147,0.622,1551292500,90.83
148,0.622,1551292560,90.83
149,0.622,1551292620,90.83
150,0.622,1551292680,91.11
151,0.622,1551292740,91.11
152,0.622,1551292800,91.11
153,0.622,1551292860,91.11
154,0.622,1551292920,91.11
155,0.622,1551292980,91.11
156,0.622,1551293040,91.11
157,0.622,1551293100,91.1
158,0.622,1551293160,91.1
159,0.622,1551293220,91.1
160,0.622,1551293280,90.96
161,0.622,1551293340,90.75
162,0.622,1551293400,90.75
163,0.622,1551293460,90.67
164,0.622,1551293520,90.38
165,0.622,1551293580,90.35
166,0.622,1551293640,90.33
167,0.622,1551293700,90.32
168,0.622,1551293760,90.2
169,0.622,1551293820,90.2
170,0.622,1551293880,90.32
171,0.622,1551293940,90.55
172,0.4882,1551294000,91.35
173,0.4213,1551294060,91.68
174,0.4213,1551294120,91.72
175,0.4213,1551294180,91.81
176,0.4213,1551294240,91.84
177,0.4213,1551294300,92.02
178,0.5551,1551294360,91.35
179,0.622,1551294420,91.08
180,0.622,1551294480,91.06
181,0.622,1551294540,90.92
182,0.622,1551294600,91.01
183,0.622,1551294660,91.03
184,0.622,1551294720,91
185,0.622,1551294780,90.88
186,0.622,1551294840,90.87
187,0.622,1551294900,90.85
188,0.622,1551294960,90.9
189,0.622,1551295020,90.91
190,0.622,1551295080,90.9
